stock_symbol,date,rsi,macd,bollinger_bands,sma,ema,stochastic,atr,obv,fibonacci_retracement,ichimoku_cloud,parabolic_sar,score
BANARISUG,2024-08-31,"{'value': np.float64(54.62936), 'signal': None}","{'value': {'macd': np.float64(14.72185), 'signal': np.float64(7.15242), 'histogram': np.float64(7.56943)}, 'signal': 'bullish'}","{'middle_band': np.float64(3146.4325), 'upper_band': np.float64(3273.44502), 'lower_band': np.float64(3019.41998), 'signal': 'bullish'}","{'value': np.float64(3146.4325), 'signal': 'bullish'}","{'value': np.float64(3147.30237), 'signal': 'bullish'}","{'k_value': np.float64(70.17521), 'd_value': np.float64(46.2472), 'signal': 'bullish'}","{'value': np.float64(110.14286), 'signal': 'volatile'}","{'value': 2327, 'signal': 'bullish'}","{'levels': {'level_0': array(3402.05), 'level_236': array(3130.591), 'level_382': array(2962.6545), 'level_618': array(2691.1955), 'level_100': array(2251.8)}, 'signal': 'bullish'}","{'tenkan_sen': 3239.425, 'kijun_sen': 3227.15, 'senkou_span_a': 3039.3375, 'senkou_span_b': 2830.6, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 3064.0, 'signal': 'bullish'}",100.0
CIPLA,2024-08-31,"{'value': np.float64(77.06398), 'signal': 'bearish'}","{'value': {'macd': np.float64(26.78489), 'signal': np.float64(20.77424), 'histogram': np.float64(6.01065)}, 'signal': 'bullish'}","{'middle_band': np.float64(1573.8625), 'upper_band': np.float64(1641.20438), 'lower_band': np.float64(1506.52062), 'signal': 'bullish'}","{'value': np.float64(1573.8625), 'signal': 'bullish'}","{'value': np.float64(1579.97036), 'signal': 'bullish'}","{'k_value': np.float64(95.70136), 'd_value': np.float64(88.73619), 'signal': 'bullish'}","{'value': np.float64(29.52143), 'signal': 'volatile'}","{'value': 2008795, 'signal': 'bullish'}","{'levels': {'level_0': array(1655.75), 'level_236': array(1536.4284), 'level_382': array(1462.6108), 'level_618': array(1343.2892), 'level_100': array(1150.15)}, 'signal': 'bullish'}","{'tenkan_sen': 1609.525, 'kijun_sen': 1550.1, 'senkou_span_a': 1512.3375, 'senkou_span_b': 1449.65, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 1553.85624, 'signal': 'bullish'}",99.97
GODREJIND,2024-08-31,"{'value': np.float64(88.67769), 'signal': 'bearish'}","{'value': {'macd': np.float64(28.6548), 'signal': np.float64(16.8397), 'histogram': np.float64(11.8151)}, 'signal': 'bullish'}","{'middle_band': np.float64(922.4325), 'upper_band': np.float64(1014.39646), 'lower_band': np.float64(830.46854), 'signal': 'bullish'}","{'value': np.float64(922.4325), 'signal': 'bullish'}","{'value': np.float64(935.78471), 'signal': 'bullish'}","{'k_value': np.float64(91.3407), 'd_value': np.float64(90.78884), 'signal': 'bullish'}","{'value': np.float64(32.30714), 'signal': 'volatile'}","{'value': 43860486, 'signal': 'bullish'}","{'levels': {'level_0': array(1015.4), 'level_236': array(886.9452), 'level_382': array(807.4774), 'level_618': array(679.0226), 'level_100': array(471.1)}, 'signal': 'bullish'}","{'tenkan_sen': 960.9, 'kijun_sen': 946.175, 'senkou_span_a': 877.425, 'senkou_span_b': 826.375, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 915.28912, 'signal': 'bullish'}",99.93
INDIAGLYCO,2024-08-31,"{'value': np.float64(71.59813), 'signal': 'bearish'}","{'value': {'macd': np.float64(68.64694), 'signal': np.float64(68.48633), 'histogram': np.float64(0.16061)}, 'signal': 'bullish'}","{'middle_band': np.float64(1251.9675), 'upper_band': np.float64(1370.43868), 'lower_band': np.float64(1133.49632), 'signal': 'bullish'}","{'value': np.float64(1251.9675), 'signal': 'bullish'}","{'value': np.float64(1246.34184), 'signal': 'bullish'}","{'k_value': np.float64(94.89841), 'd_value': np.float64(77.21342), 'signal': 'bullish'}","{'value': np.float64(64.01071), 'signal': 'volatile'}","{'value': 1456987, 'signal': 'bullish'}","{'levels': {'level_0': array(1387.5), 'level_236': array(1209.8392), 'level_382': array(1099.9304), 'level_618': array(922.2696), 'level_100': array(634.7)}, 'signal': 'bullish'}","{'tenkan_sen': 1325.4, 'kijun_sen': 1186.725, 'senkou_span_a': 971.9375, 'senkou_span_b': 872.825, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 1239.97605, 'signal': 'bullish'}",99.9
NIITLTD,2024-08-31,"{'value': np.float64(80.05797), 'signal': 'bearish'}","{'value': {'macd': np.float64(10.9307), 'signal': np.float64(4.96597), 'histogram': np.float64(5.96473)}, 'signal': 'bullish'}","{'middle_band': np.float64(126.0025), 'upper_band': np.float64(165.8684), 'lower_band': np.float64(86.1366), 'signal': 'bullish'}","{'value': np.float64(126.0025), 'signal': 'bullish'}","{'value': np.float64(132.01863), 'signal': 'bullish'}","{'k_value': np.float64(88.93805), 'd_value': np.float64(87.68437), 'signal': 'bullish'}","{'value': np.float64(8.49643), 'signal': 'volatile'}","{'value': 10632632, 'signal': 'bullish'}","{'levels': {'level_0': array(170.65), 'level_236': array(148.85304), 'level_382': array(135.36848), 'level_618': array(113.57152), 'level_100': array(78.29)}, 'signal': 'bullish'}","{'tenkan_sen': 142.2, 'kijun_sen': 141.5, 'senkou_span_a': 113.075, 'senkou_span_b': 106.15, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 121.86077, 'signal': 'bullish'}",99.87
ORIENTHOT,2024-08-31,"{'value': np.float64(79.08384), 'signal': 'bearish'}","{'value': {'macd': np.float64(3.58518), 'signal': np.float64(1.34926), 'histogram': np.float64(2.23592)}, 'signal': 'bullish'}","{'middle_band': np.float64(139.0175), 'upper_band': np.float64(154.57741), 'lower_band': np.float64(123.45759), 'signal': 'bullish'}","{'value': np.float64(139.0175), 'signal': 'bullish'}","{'value': np.float64(141.52941), 'signal': 'bullish'}","{'k_value': np.float64(92.30769), 'd_value': np.float64(83.42978), 'signal': 'bullish'}","{'value': np.float64(8.02143), 'signal': 'volatile'}","{'value': 4781038, 'signal': 'bullish'}","{'levels': {'level_0': array(162.3), 'level_236': array(142.81348), 'level_382': array(130.75826), 'level_618': array(111.27174), 'level_100': array(79.73)}, 'signal': 'bullish'}","{'tenkan_sen': 148.925, 'kijun_sen': 144.3, 'senkou_span_a': 135.825, 'senkou_span_b': 133.1, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 139.55079, 'signal': 'bullish'}",99.84
PRIMESECU,2024-08-31,"{'value': np.float64(85.82264), 'signal': 'bearish'}","{'value': {'macd': np.float64(12.53898), 'signal': np.float64(8.20193), 'histogram': np.float64(4.33705)}, 'signal': 'bullish'}","{'middle_band': np.float64(260.035), 'upper_band': np.float64(296.69042), 'lower_band': np.float64(223.37958), 'signal': 'bullish'}","{'value': np.float64(260.035), 'signal': 'bullish'}","{'value': np.float64(265.72615), 'signal': 'bullish'}","{'k_value': np.float64(89.76487), 'd_value': np.float64(88.20516), 'signal': 'bullish'}","{'value': np.float64(13.71786), 'signal': 'volatile'}","{'value': 1284048, 'signal': 'bullish'}","{'levels': {'level_0': array(302.3), 'level_236': array(263.2538), 'level_382': array(239.0981), 'level_618': array(200.0519), 'level_100': array(136.85)}, 'signal': 'bullish'}","{'tenkan_sen': 276.35, 'kijun_sen': 273.3, 'senkou_span_a': 235.775, 'senkou_span_b': 216.6, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 256.75208, 'signal': 'bullish'}",99.8
SWARAJENG,2024-08-31,"{'value': np.float64(78.99794), 'signal': 'bearish'}","{'value': {'macd': np.float64(99.67245), 'signal': np.float64(57.39904), 'histogram': np.float64(42.2734)}, 'signal': 'bullish'}","{'middle_band': np.float64(3064.095), 'upper_band': np.float64(3393.05763), 'lower_band': np.float64(2735.13237), 'signal': 'bullish'}","{'value': np.float64(3064.095), 'signal': 'bullish'}","{'value': np.float64(3106.85968), 'signal': 'bullish'}","{'k_value': np.float64(92.21589), 'd_value': np.float64(84.82272), 'signal': 'bullish'}","{'value': np.float64(104.775), 'signal': 'stable'}","{'value': 78388, 'signal': 'bullish'}","{'levels': {'level_0': array(3406.3), 'level_236': array(3064.1708), 'level_382': array(2852.5146), 'level_618': array(2510.3854), 'level_100': array(1956.6)}, 'signal': 'bullish'}","{'tenkan_sen': 3169.3, 'kijun_sen': 3151.025, 'senkou_span_a': 2981.5375, 'senkou_span_b': 2737.5, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 3004.11327, 'signal': 'bullish'}",99.77
VEERENRGY,2024-08-31,"{'value': np.float64(87.17156), 'signal': 'bearish'}","{'value': {'macd': np.float64(0.94775), 'signal': np.float64(0.13679), 'histogram': np.float64(0.81097)}, 'signal': 'bullish'}","{'middle_band': np.float64(20.8485), 'upper_band': np.float64(25.43848), 'lower_band': np.float64(16.25852), 'signal': 'bullish'}","{'value': np.float64(20.8485), 'signal': 'bullish'}","{'value': np.float64(21.542), 'signal': 'bullish'}","{'k_value': np.float64(99.91047), 'd_value': np.float64(87.91133), 'signal': 'bullish'}","{'value': np.float64(1.65071), 'signal': 'volatile'}","{'value': 6565344, 'signal': 'bullish'}","{'levels': {'level_0': array(31.54), 'level_236': array(27.01352), 'level_382': array(24.21324), 'level_618': array(19.68676), 'level_100': array(12.36)}, 'signal': 'bullish'}","{'tenkan_sen': 23.885, 'kijun_sen': 23.885, 'senkou_span_a': 20.595, 'senkou_span_b': 20.875, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 19.8571, 'signal': 'bullish'}",99.74
BBL,2024-08-31,"{'value': np.float64(75.8476), 'signal': 'bearish'}","{'value': {'macd': np.float64(115.0139), 'signal': np.float64(45.45261), 'histogram': np.float64(69.56129)}, 'signal': 'bullish'}","{'middle_band': np.float64(4879.91), 'upper_band': np.float64(5385.41307), 'lower_band': np.float64(4374.40693), 'signal': 'bullish'}","{'value': np.float64(4879.91), 'signal': 'bullish'}","{'value': np.float64(4960.32657), 'signal': 'bullish'}","{'k_value': np.float64(93.60329), 'd_value': np.float64(92.86348), 'signal': 'bullish'}","{'value': np.float64(215.025), 'signal': 'volatile'}","{'value': 229333, 'signal': 'bullish'}","{'levels': {'level_0': array(5503.85), 'level_236': array(4626.38548), 'level_382': array(4083.54726), 'level_618': array(3206.08274), 'level_100': array(1785.78)}, 'signal': 'bullish'}","{'tenkan_sen': 5094.225, 'kijun_sen': 4878.85, 'senkou_span_a': 4992.45, 'senkou_span_b': 4390.375, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 4795.63494, 'signal': 'bullish'}",99.7
