Scrip Code,COMPANY,ISIN No.,Close Price
542772,360 ONE WAM LIMITED,INE466L01038,1081.8
532628,3I INFOTECH LTD.,INE748C01038,35.45
523395,3M INDIA LTD.,INE470A01017,34969.55
540776,5paisa Capital Limited,INE618L01018,526.4
526881,63 Moons Technologies Limited,INE111B01023,337.45
524348,AARTI DRUGS LTD.,INE767A01016,563.7
524208,AARTI INDUSTRIES LTD.,INE769A01020,620.8
543748,Aarti Pharmalabs Limited,INE0LRU01027,666.1
541988,AAVAS Financiers Limited,INE216P01012,1683.7
543712,Abans Holdings Limited,INE00ZE01026,599.6
500002,ABB INDIA LIMITED,INE117A01022,7798.95
500488,ABBOTT INDIA LTD.,INE358A01014,28990.95
500410,ACC LTD.,INE012A01025,2324.3
532268,ACCELYA SOLUTIONS INDIA LIMITE,INE793A01012,1778.55
532762,ACTION CONSTRUCTION EQUIPMENT,INE731H01025,1305.35
539254,Adani Energy Solutions Limited,INE931S01010,1064.6
512599,ADANI ENTERPRISES LTD.,INE423A01024,3075.95
541450,Adani Green Energy Limited,INE364U01010,1901.45
532921,ADANI PORTS AND SPECIAL ECONOM,INE742F01042,1490.2
533096,ADANI POWER LTD.,INE814H01011,675.85
542066,ADANI TOTAL GAS LIMITED,INE399L01023,858.7
543458,Adani Wilmar Limited,INE699H01024,377.25
519183,ADF FOODS LTD.,INE982B01027,239.7
540691,Aditya Birla Capital Ltd,INE674K01013,219.15
535755,Aditya Birla Fashion and Retai,INE647O01011,318.9
543374,Aditya Birla Sun Life AMC Limi,INE404A01024,742.65
540205,Aditya Vision Limited,INE679V01019,4844.8
517041,ADOR WELDING LTD.,INE045A01017,1312.25
540025,Advanced Enzyme Technologies L,INE837H01020,453.8
500003,AEGIS LOGISTICS LTD.,INE208C01025,798.6
543972,Aeroflex Industries Limited,INE024001021,177.65
543534,Aether Industries Limited,INE0BWX01014,903.25
542752,Affle (India) Limited,INE00WC01027,1632.5
531921,AGARWAL INDUSTRIAL CORPORATION,INE204E01012,1282.05
