Scrip Code,COMPANY,ISIN No.,Close Price
500002,ABB INDIA LIMITED,INE117A01022,7798.95
539254,Adani Energy Solutions Limited,INE931S01010,1064.6
512599,ADANI ENTERPRISES LTD.,INE423A01024,3075.95
541450,Adani Green Energy Limited,INE364U01010,1901.45
532921,ADANI PORTS AND SPECIAL ECONOM,INE742F01042,1490.2
533096,ADANI POWER LTD.,INE814H01011,675.85
542066,ADANI TOTAL GAS LIMITED,INE399L01023,858.7
543458,Adani Wilmar Limited,INE699H01024,377.25
500425,AMBUJA CEMENTS LTD.,INE079A01024,633.55
508869,APOLLO HOSPITALS ENTERPRISE LT,INE437A01024,6855.8
500820,ASIAN PAINTS LTD.,INE021A01026,3153.55
540376,Avenue Supermarts Limited,INE192R01011,4879.55
532215,AXIS BANK LTD.,INE238A01034,1165.85
532977,BAJAJ AUTO LTD.,INE917I01010,10401.35
500034,BAJAJ FINANCE LIMITED,INE296A01024,6735.5
532978,BAJAJ FINSERV LTD.,INE918I01026,1640.2
500490,BAJAJ HOLDINGS & INVESTMENT LT,INE118A01012,9873.3
541153,Bandhan Bank Limited,INE545U01014,201.9
532134,BANK OF BARODA,INE028A01039,252.35
509480,BERGER PAINTS INDIA LTD.,INE463A01038,565.95
500049,BHARAT ELECTRONICS LTD.,INE263A01024,306.05
500547,BHARAT PETROLEUM CORPORATION L,INE029A01011,352
532454,BHARTI AIRTEL LTD.,INE397D01024,1506.05
500530,BOSCH LTD.,INE323A01026,32596.85
500825,BRITANNIA INDUSTRIES LTD.,INE216A01030,5793.5
511243,CHOLAMANDALAM INVESTMENT AND F,INE121A01024,1349.6
500087,CIPLA LTD.,INE059A01026,1575
533278,COAL INDIA LTD.,INE522F01014,538.6
500096,DABUR INDIA LTD.,INE016A01026,643.35
532488,DIVIS LABORATORIES LTD.,INE361B01024,4855.95
532868,DLF LTD.,INE271C01023,849.5
500124,DR.REDDYS LABORATORIES LTD.,INE089A01023,6953.2
505200,EICHER MOTORS LTD.,INE066A01021,4898.7
543384,FSN E-Commerce Ventures Limite,INE388Y01029,226.9
532155,GAIL (INDIA) LTD.,INE129A01019,229.35
532424,GODREJ CONSUMER PRODUCTS LTD.,INE102D01028,1428.2
500300,GRASIM INDUSTRIES LTD.,INE047A01021,2746.6
517354,HAVELLS INDIA LTD.,INE176B01034,1887
532281,HCL TECHNOLOGIES LTD.,INE860A01027,1663.2
541729,HDFC Asset Management Company,INE127D01025,4384.3
500180,HDFC BANK LTD.,INE040A01034,1625.6
540777,HDFC LIFE INSURANCE COMPANY LI,INE795G01014,728.8
500182,HERO MOTOCORP LTD.,INE158A01026,5387.3
500440,HINDALCO INDUSTRIES LTD.,INE038A01020,685.05
541154,Hindustan Aeronautics Limited,INE066F01020,4822.75
500696,HINDUSTAN UNILEVER LTD.,INE030A01027,2813.9
500188,HINDUSTAN ZINC LTD.,INE267A01025,513.9
532174,ICICI BANK LTD.,INE090A01021,1203.6
540716,ICICI Lombard General Insuranc,INE765G01017,2096
540133,ICICI Prudential Life Insuranc,INE726G01019,732.9
530965,INDIAN OIL CORPORATION LTD.,INE242A01010,173
534816,INDUS TOWERS LIMITED,INE121J01017,433.85
532187,INDUSIND BANK LTD.,INE095A01012,1388.45
532777,INFO EDGE (INDIA) LTD.,INE663F01024,7390.7
500209,INFOSYS LTD.,INE009A01021,1862.35
539448,InterGlobe Aviation Limited,INE646L01027,4713.35
500875,ITC LTD.,INE154A01025,505.7
543940,Jio Financial Services Limited,INE758E01017,327.2
500228,JSW STEEL LTD.,INE019A01038,940.15
500247,KOTAK MAHINDRA BANK LTD.,INE237A01028,1817.45
500510,LARSEN & TOUBRO LTD.,INE018A01030,3597.5
543526,LIFE INSURANCE CORPORATION OF,INE0J1Y01017,1060.95
540005,LTIMindtree Limited,INE214T01019,5646.85
500520,MAHINDRA & MAHINDRA LTD.,INE101A01026,2760.1
543904,Mankind Pharma Limited,INE634S01028,2361.4
531642,MARICO LTD.,INE196A01026,678.05
532500,MARUTI SUZUKI INDIA LTD.,INE585B01010,12302.3
500790,NESTLE INDIA LTD.,INE239A01024,2529.6
532555,NTPC LTD.,INE733E01010,401.8
500312,OIL AND NATURAL GAS CORPORATIO,INE213A01029,319.1
543396,One 97 Communications Limited,INE982J01020,554.5
500331,PIDILITE INDUSTRIES LTD.,INE318A01026,3085.05
532898,POWER GRID CORPORATION OF INDI,INE752E01010,336.15
532461,PUNJAB NATIONAL BANK,INE160A01022,116.2
500325,RELIANCE INDUSTRIES LTD.,INE002A01018,2999.95
543066,SBI CARDS AND PAYMENT SERVICES,INE018E01016,716.45
540719,SBI Life Insurance Company Lim,INE123W01016,1788.95
500387,SHREE CEMENT LTD.,INE070A01015,24718
500550,SIEMENS LTD.,INE003A01024,7022.05
503806,SRF LTD.,INE647A01010,2490
500112,STATE BANK OF INDIA,INE062A01020,815.25
524715,SUN PHARMACEUTICAL INDUSTRIES,INE044A01036,1776.15
532540,TATA CONSULTANCY SERVICES LTD.,INE467B01029,4464
500800,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,1197.8
570001,TATA MOTORS LTD - DVR,IN9155A01020,748.7
500570,TATA MOTORS LTD.,INE155A01022,1084.9
500400,TATA POWER CO.LTD.,INE245A01021,418
500470,TATA STEEL LTD.,INE081A01020,154.15
532755,TECH MAHINDRA LTD.,INE669C01036,1599.35
500114,TITAN COMPANY LIMITED,INE280A01028,3568.55
532538,ULTRATECH CEMENT LTD.,INE481G01011,11324.55
532432,UNITED SPIRITS LTD.,INE854D01024,1430.15
512070,UPL LIMITED,INE628A01036,573.65
540180,Varun Beverages Limited,INE200M01021,1582.9
500295,VEDANTA LIMITED,INE205A01025,449.2
507685,WIPRO LTD.,INE075A01022,512.35
543320,Zomato Limited,INE758T01015,262.7
532321,Zydus Lifesciences Limited,INE010B01027,1178.65
