Scrip Code,COMPANY,ISIN No.,Close Price
523395,3M INDIA LTD.,INE470A01017,35709.35
524208,AARTI INDUSTRIES LTD.,INE769A01020,603.4
500488,ABBOTT INDIA LTD.,INE358A01014,27904.75
500410,ACC LTD.,INE012A01025,2336.3
540691,Aditya Birla Capital Ltd,INE674K01013,216.1
535755,Aditya Birla Fashion and Retai,INE647O01011,319.2
532331,AJANTA PHARMA LTD.,INE031B01049,3003.45
539523,Alkem Laboratories Limited,INE540L01014,5677.95
533758,APL APOLLO TUBES LTD.,INE702C01027,1408.35
500477,ASHOK LEYLAND LTD.,INE208A01029,255.8
532830,ASTRAL LIMITED,INE006I01046,1889.35
540611,AU Small Finance Bank Limited,INE949L01017,613.05
524804,AUROBINDO PHARMA LTD.,INE406A01037,1502.3
502355,BALKRISHNA INDUSTRIES LTD.,INE787D01026,2829.5
532149,BANK OF INDIA,INE084A01016,116.1
506285,BAYER CROPSCIENCE LTD.,INE462A01022,6168.65
500493,BHARAT FORGE LTD.,INE465A01025,1581.4
500103,BHARAT HEAVY ELECTRICALS LTD.,INE257A01026,296.4
532523,BIOCON LTD.,INE376G01013,340.65
532483,CANARA BANK,INE476A01022,107.6
500870,CASTROL INDIA LTD.,INE172A01027,252.05
500093,CG Power and Industrial Soluti,INE067A01029,715.55
543318,Clean Science and Technology L,INE227W01023,1578
500830,COLGATE-PALMOLIVE (INDIA) LTD.,INE259A01022,3534.65
531344,CONTAINER CORPORATION OF INDIA,INE111A01025,978.85
506395,COROMANDEL INTERNATIONAL LTD.,INE169A01031,1758.75
500092,CRISIL LTD.,INE007A01025,4503.3
539876,Crompton Greaves Consumer Elec,INE299U01018,440.75
500480,CUMMINS INDIA LTD.,INE298A01020,3761.15
542216,DALMIA BHARAT LIMITED,INE00R701025,1751.25
506401,DEEPAK NITRITE LTD.,INE288B01029,2900.2
543529,Delhivery Limited,INE148O01028,416.4
531162,EMAMI LTD.,INE548C01032,824.35
540153,Endurance Technologies Limited,INE913H01037,2506.6
500086,EXIDE INDUSTRIES LTD.,INE302A01020,495.3
500469,FEDERAL BANK LTD.,INE171A01029,203.6
540755,General Insurance Corporation,INE481Y01014,384.1
507815,GILLETTE INDIA LTD.,INE322A01010,7868.8
543245,Gland Pharma Limited,INE068V01023,1945.8
