Scrip Code,COMPANY,ISIN No.,Close Price
532921,ADANI PORTS AND SPECIAL ECONOM,INE742F01042,1490.2
500820,ASIAN PAINTS LTD.,INE021A01026,3153.55
532215,AXIS BANK LTD.,INE238A01034,1165.85
500034,BAJAJ FINANCE LIMITED,INE296A01024,6735.5
532978,BAJAJ FINSERV LTD.,INE918I01026,1640.2
532454,BHARTI AIRTEL LTD.,INE397D01024,1506.05
532281,HCL TECHNOLOGIES LTD.,INE860A01027,1663.2
500180,HDFC BANK LTD.,INE040A01034,1625.6
500696,HINDUSTAN UNILEVER LTD.,INE030A01027,2813.9
532174,ICICI BANK LTD.,INE090A01021,1203.6
532187,INDUSIND BANK LTD.,INE095A01012,1388.45
500209,INFOSYS LTD.,INE009A01021,1862.35
500875,ITC LTD.,INE154A01025,505.7
500228,JSW STEEL LTD.,INE019A01038,940.15
500247,KOTAK MAHINDRA BANK LTD.,INE237A01028,1817.45
500510,LARSEN & TOUBRO LTD.,INE018A01030,3597.5
500520,MAHINDRA & MAHINDRA LTD.,INE101A01026,2760.1
532500,MARUTI SUZUKI INDIA LTD.,INE585B01010,12302.3
500790,NESTLE INDIA LTD.,INE239A01024,2529.6
532555,NTPC LTD.,INE733E01010,401.8
532898,POWER GRID CORPORATION OF INDI,INE752E01010,336.15
500325,RELIANCE INDUSTRIES LTD.,INE002A01018,2999.95
500112,STATE BANK OF INDIA,INE062A01020,815.25
524715,SUN PHARMACEUTICAL INDUSTRIES,INE044A01036,1776.15
532540,TATA CONSULTANCY SERVICES LTD.,INE467B01029,4464
500570,TATA MOTORS LTD.,INE155A01022,1084.9
500470,TATA STEEL LTD.,INE081A01020,154.15
532755,TECH MAHINDRA LTD.,INE669C01036,1599.35
500114,TITAN COMPANY LIMITED,INE280A01028,3568.55
532538,ULTRATECH CEMENT LTD.,INE481G01011,11324.55
