symbol,error
UTIQUE,Missing 'marketCap' in stock info
MIDINDIA,Missing 'marketCap' in stock info
NAPEROL,Missing 'marketCap' in stock info
PANCM,Missing 'marketCap' in stock info
COCKERILL,Missing 'marketCap' in stock info
BARODARY,Missing 'marketCap' in stock info
PHTRADING,Missing 'marketCap' in stock info
QUESTCAP,Missing 'marketCap' in stock info
KRIFILIND,Missing 'marketCap' in stock info
JASCH,Missing 'marketCap' in stock info
WELSPLSOL,Missing 'marketCap' in stock info
SILVERLINE,Missing 'marketCap' in stock info
TPINDIA,Missing 'marketCap' in stock info
KRATOSENER,Missing 'marketCap' in stock info
PEOPLIN,Missing 'marketCap' in stock info
PRISMX,Missing 'marketCap' in stock info
ZGOLDINV,Missing 'previousClose' in stock info
ANTARIKSH,Missing 'previousClose' in stock info
RAPIDIN,Missing 'previousClose' in stock info
SUNRINV,Missing 'previousClose' in stock info
HEMACEM,Missing 'marketCap' in stock info
ASIIL,Missing 'marketCap' in stock info
SFTL,Missing 'previousClose' in stock info
ZSWASTSA,Missing 'previousClose' in stock info
LERTHAI,Missing 'marketCap' in stock info
VAPIENTER,Missing 'marketCap' in stock info
ANANDPROJ,Missing 'previousClose' in stock info
NATHIND,Missing 'marketCap' in stock info
PASUSPG,Missing 'marketCap' in stock info
KATRSPG,Missing 'marketCap' in stock info
ZGAEKWAR,Missing 'previousClose' in stock info
ELCIDIN,Missing 'marketCap' in stock info
ZSVTRADI,Missing 'previousClose' in stock info
SW1,Missing 'marketCap' in stock info
MEDIAONE,Missing 'marketCap' in stock info
INDSOYA,Missing 'previousClose' in stock info
SHRMFGC,Missing 'marketCap' in stock info
SALSAIN,Missing 'previousClose' in stock info
SHRENTI,Missing 'marketCap' in stock info
SHRAJSYNQ,Missing 'marketCap' in stock info
KSHITIJ,Missing 'previousClose' in stock info
UNIJOLL,Missing 'previousClose' in stock info
ZSATYASL,Missing 'marketCap' in stock info
HEALINV,Missing 'previousClose' in stock info
GRANDMA,Missing 'marketCap' in stock info
LONGSPUR,Missing 'marketCap' in stock info
MODULEX,Missing 'marketCap' in stock info
GANHOLD,Missing 'marketCap' in stock info
BOMBWIR,Missing 'marketCap' in stock info
RATHIST,Missing 'marketCap' in stock info
FLOMIC,Missing 'marketCap' in stock info
SOFTBPO,Missing 'previousClose' in stock info
RIDHISYN,Missing 'previousClose' in stock info
JAINEX,Missing 'marketCap' in stock info
INRADIA,Missing 'marketCap' in stock info
TULIVE,Missing 'marketCap' in stock info
AUTOPRD,Missing 'marketCap' in stock info
KPT,Missing 'marketCap' in stock info
GGDPROP,Missing 'marketCap' in stock info
HARSHILAGR,Missing 'marketCap' in stock info
